epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26505,0.88998,1.46392,1.31444,0.02637,0.21667,0.0898,0.04636,2.1143,4.98907,2.04458,0,0,0
2,6.03559,0.91275,1.66888,1.31627,0.06053,0.31667,0.12188,0.05656,2.03884,4.7056,1.99685,1.17822e-06,1.17822e-06,1.17822e-06
3,9.90248,0.85796,1.78606,1.4048,0.07345,0.56667,0.13633,0.06802,1.97053,4.40645,1.93857,2.33288e-06,2.33288e-06,2.33288e-06
4,13.9429,1.18007,1.4934,1.88457,0.06516,0.56667,0.13878,0.07768,1.91579,4.20567,1.89284,3.46397e-06,3.46397e-06,3.46397e-06
5,18.0905,1.07729,1.99373,1.58177,0.11019,0.36667,0.25269,0.14851,1.87334,4.01625,1.82878,4.5715e-06,4.5715e-06,4.5715e-06
6,22.3056,0.93175,1.73992,1.2654,0.13784,0.36667,0.26397,0.20498,1.85623,3.72537,1.7987,5.65548e-06,5.65548e-06,5.65548e-06
7,26.5545,0.9841,1.43902,1.32713,0.60276,0.2647,0.27616,0.20305,1.84181,3.46183,1.75696,6.71588e-06,6.71588e-06,6.71588e-06
8,30.579,0.64214,1.19854,1.08637,0.71991,0.25,0.28259,0.20788,1.84594,3.29631,1.76664,7.75273e-06,7.75273e-06,7.75273e-06
9,34.7845,0.93708,2.37203,1.30882,0.59389,0.34563,0.34301,0.21724,1.84936,3.11762,1.76271,8.76602e-06,8.76602e-06,8.76602e-06
10,38.9018,0.94288,1.26052,1.19976,0.77716,0.25,0.34253,0.22298,1.742,2.92527,1.6281,9.75574e-06,9.75574e-06,9.75574e-06
11,43.1457,0.95527,1.83087,1.20848,0.78252,0.25,0.36662,0.23147,1.63127,2.78345,1.55189,1.07219e-05,1.07219e-05,1.07219e-05
12,47.553,0.76731,1.22175,1.22412,0.63955,0.36125,0.40697,0.26776,1.55554,2.67867,1.51365,1.16645e-05,1.16645e-05,1.16645e-05
13,51.5987,0.73999,0.8642,1.17169,0.70771,0.36534,0.44306,0.29861,1.58001,2.56465,1.4947,1.25835e-05,1.25835e-05,1.25835e-05
14,55.6851,0.91355,1.11218,1.29812,0.7823,0.34842,0.50517,0.32944,1.60447,2.46369,1.49719,1.3479e-05,1.3479e-05,1.3479e-05
15,59.7398,0.97471,1.03265,1.41425,0.76366,0.3549,0.52492,0.35109,1.6385,2.37424,1.49892,1.43509e-05,1.43509e-05,1.43509e-05
16,63.7554,0.91186,0.91302,1.48416,0.76229,0.3571,0.53113,0.36862,1.66601,2.29449,1.50579,1.51993e-05,1.51993e-05,1.51993e-05
17,67.8542,0.94193,1.13343,1.42967,0.74729,0.37074,0.55702,0.38347,1.68055,2.17632,1.51239,1.60241e-05,1.60241e-05,1.60241e-05
18,72.007,0.88692,1.12404,1.20638,0.74729,0.37074,0.55702,0.38347,1.68055,2.17632,1.51239,1.68253e-05,1.68253e-05,1.68253e-05
19,76.2919,0.84869,0.8869,1.15801,0.76859,0.37054,0.60479,0.44305,1.61462,2.04638,1.49542,1.7603e-05,1.7603e-05,1.7603e-05
20,80.1351,0.89523,0.84403,1.19924,0.76859,0.37054,0.60479,0.44305,1.61462,2.04638,1.49542,1.83571e-05,1.83571e-05,1.83571e-05
21,84.1106,1.04315,1.77066,1.41954,0.76841,0.38334,0.6958,0.48931,1.65485,1.87703,1.50118,1.90876e-05,1.90876e-05,1.90876e-05
22,87.9655,0.70843,0.85455,1.26365,0.76841,0.38334,0.6958,0.48931,1.65485,1.87703,1.50118,1.97946e-05,1.97946e-05,1.97946e-05
23,92.0952,0.90559,1.14431,1.17234,0.78552,0.37895,0.69728,0.50605,1.59011,1.75985,1.47461,2.0478e-05,2.0478e-05,2.0478e-05
24,96.2724,0.8024,0.75339,1.17844,0.78552,0.37895,0.69728,0.50605,1.59011,1.75985,1.47461,2.11379e-05,2.11379e-05,2.11379e-05
25,100.242,0.7624,0.83458,1.2216,0.93179,0.38891,0.70063,0.50768,1.61632,1.66609,1.46849,2.17741e-05,2.17741e-05,2.17741e-05
26,103.978,0.79098,0.88238,1.29308,0.93179,0.38891,0.70063,0.50768,1.61632,1.66609,1.46849,2.23869e-05,2.23869e-05,2.23869e-05
27,107.975,0.73428,0.78291,1.15675,0.90804,0.39106,0.76688,0.49812,1.60464,1.55322,1.45749,2.2976e-05,2.2976e-05,2.2976e-05
28,111.745,0.80588,0.95828,1.17604,0.90804,0.39106,0.76688,0.49812,1.60464,1.55322,1.45749,2.35417e-05,2.35417e-05,2.35417e-05
29,115.831,1.03491,0.93831,1.32824,0.89153,0.39824,0.81305,0.51242,1.59919,1.47444,1.44322,2.40837e-05,2.40837e-05,2.40837e-05
